feature,type,formula,justification,expected_normal,expected_icmp_flood,expected_syn_scan,expected_udp_scan,expected_port_sweep,model_use
protocol,NFStream base,"IP protocol number: 1=ICMP, 6=TCP, 17=UDP",The transport/network protocol is an L3/L4 field and separates connection-oriented TCP traffic from connectionless UDP and ICMP. It is useful because the attacks in the dataset exercise different protocol behavior without inspecting payload.,TCP and UDP mixture due to HTTP/FTP/DNS.,"Mostly ICMP, although Docker DNS noise may appear as UDP.",Mostly TCP.,Mostly UDP.,Mixed TCP/ICMP depending on probe type.,"Use, encoded as categorical/numeric protocol identifier."
bidirectional_duration_ms,NFStream base,last_packet_timestamp_ms - first_packet_timestamp_ms,"A legitimate TCP flow normally includes connection setup, data transfer and teardown, while scans often create very short probe flows. Duration is therefore a direct behavioral indicator of whether a flow contains real communication or only reconnaissance/control packets.",Higher and more variable; HTTP/FTP may last milliseconds to seconds.,Can be very short or aggregated into a long high-rate flow.,"Very short flows, often near 0 ms in Docker.","Short flows, usually one request and little/no response.",Short probe flows with little data exchange.,Use.
bidirectional_packets,NFStream base,count(all packets in both directions),"Packet count measures the volume of interaction inside a flow. Real client-server communication usually involves several packets, whereas scan flows are often composed of one or two packets.","Moderate to high, especially for HTTP/FTP transfers.",Potentially very high if NFStream aggregates flood packets.,"Very low, commonly 1-3 packets per flow.","Very low, frequently 1 packet per destination/port.",Low per host/port probe.,Use.
bidirectional_bytes,NFStream base,sum(packet sizes in both directions),"Byte count captures the amount of data exchanged. Legitimate traffic tends to carry more application data, while scans and probes are dominated by headers and small control packets.",Higher and more variable due to HTTP/FTP payloads.,Can be high if many ICMP packets are grouped into one flow.,Low; TCP control packets without payload.,Low; small UDP probes and sparse replies.,Low; mainly probe packets.,Use.
src2dst_packets,NFStream base,count(packets from initial source to destination),Directional packet count distinguishes active probing from normal request-response traffic. Attack tools often generate many outgoing probes with limited reverse traffic.,Client requests plus data/control packets.,High in attack direction if attacker is source.,Usually one SYN probe per flow direction.,Usually one UDP probe per flow.,Outgoing probes towards multiple hosts/ports.,Use.
dst2src_packets,NFStream base,count(packets from destination back to initial source),"Reverse-direction packet count measures response behavior. Normal flows usually receive replies, while scans may receive few, none, or reset/error responses.",Usually present due to server responses.,Low or absent depending on echo replies and aggregation.,"SYN-ACK/RST responses may appear, but data exchange is absent.",Often zero or ICMP unreachable responses.,Sparse responses from alive hosts only.,Use.
src2dst_bytes,NFStream base,sum(bytes from initial source to destination),Directional bytes quantify how much traffic is sent by the initiator. This is useful to capture scan/flood behavior where most bytes come from the probing side.,Variable; requests may be smaller than responses.,High in attack direction if flood is grouped.,Low; SYN/control packets only.,Low; small UDP probes.,"Low per probe, repeated over many targets.",Use.
dst2src_bytes,NFStream base,sum(bytes from destination back to initial source),Reverse bytes capture whether the destination actually responds. This is important because reconnaissance traffic often has little or no reverse data compared with normal services.,Often significant due to HTTP/FTP responses.,Low or response-dependent.,Low; SYN-ACK/RST only.,Often zero or small ICMP errors.,Sparse and low-volume responses.,Use.
bytes_asymmetry_ratio,Derived,(src2dst_bytes + 1) / (dst2src_bytes + 1),The +1 smoothing avoids division by zero. The ratio measures whether the flow is balanced or dominated by one direction. Scans and floods often produce extreme asymmetry.,Closer to balanced or response-heavy depending on service.,High if many packets go from attacker to victim.,Often moderately/highly asymmetric.,High when destinations do not respond.,High for unanswered probes.,Use.
packets_asymmetry_ratio,Derived,(src2dst_packets + 1) / (dst2src_packets + 1),This captures request-response imbalance independently of packet size. It is useful when bytes are small but the number of probes is meaningful.,Usually near balanced in established flows.,High in attack direction if replies are limited.,Often near 1-2 depending on SYN-ACK/RST response.,High when UDP probes receive no response.,High for one-way host/port probes.,Use.
bidirectional_mean_ps,NFStream base,mean(packet_size_bytes over all packets in the flow),"Packet size separates data-transfer traffic from control/probe traffic. Scans usually contain only headers and small packets, while normal HTTP/FTP traffic can contain larger data packets.",Higher and more variable; can approach MTU in data transfers.,Small and stable ICMP packet sizes.,Small TCP control packets.,Small UDP probe packets.,Small probe packets.,Use.
bidirectional_syn_packets,NFStream TCP flags,count(TCP packets with SYN flag),SYN packets initiate TCP connections. A high number of SYN packets without corresponding data exchange is characteristic of scanning.,Low; usually one per TCP connection.,N/A or zero because ICMP has no TCP flags.,High relative to useful data exchange.,N/A or zero because UDP has no TCP flags.,Present when TCP probes are used.,Use for TCP flows; zero/NaN handling during cleaning.
bidirectional_ack_packets,NFStream TCP flags,count(TCP packets with ACK flag),"ACK packets indicate TCP handshake completion and data acknowledgment. Normal connections produce multiple ACKs, while incomplete scans do not produce the same ACK pattern.",Common in established TCP connections.,N/A or zero.,Lower than normal established traffic.,N/A or zero.,"Sparse, depending on probe response.",Use.
bidirectional_rst_packets,NFStream TCP flags,count(TCP packets with RST flag),RST indicates abrupt connection reset. SYN scans commonly trigger or send RST packets because the scanner does not complete a normal session.,Occasional but not dominant.,N/A or zero.,Relevant; often present in half-open scan behavior.,N/A or zero.,Can appear when probing closed TCP ports.,Use.
bidirectional_fin_packets,NFStream TCP flags,count(TCP packets with FIN flag),FIN is used for graceful TCP connection termination. Its presence is more consistent with legitimate sessions than one-shot scans.,May appear when TCP sessions close normally.,N/A or zero.,Usually low or zero.,N/A or zero.,Usually low or zero.,Use.
bidirectional_psh_packets,NFStream TCP flags,count(TCP packets with PSH flag),PSH is commonly associated with TCP segments carrying application data. It can help separate real data exchange from pure control/probe traffic.,More likely in HTTP/FTP data exchange.,N/A or zero.,Usually zero.,N/A or zero.,Usually zero.,Use.
syn_ack_ratio,Derived from TCP flags,bidirectional_syn_packets / bidirectional_ack_packets; NaN if ACK count is zero,"TCP handshakes require a relationship between SYN and ACK packets. A large deviation indicates connection attempts that do not become normal established sessions, which is typical of reconnaissance scans.",Close to balanced or below 1 when many data ACKs exist.,NaN or zero; not TCP.,High when SYNs dominate over ACKs.,NaN or zero; not TCP.,High for unanswered TCP probes.,Use after cleaning/imputation.
bidirectional_packets_per_ms,Derived,"bidirectional_packets / max(bidirectional_duration_ms, 1)","Packet rate captures intensity. Floods and aggressive scans can generate many packets in short windows, while normal traffic is usually more variable and less uniformly concentrated.",Variable but usually lower than aggressive attacks.,High if flood packets are grouped by NFStream.,Can be high because duration is near zero.,Moderate/high for rapid probes.,Moderate/high for rapid host probing.,Use with capping/outlier handling later.
